Model Name,Model Coverage,Model Average Backbone Error,Model Twisted Peptide Count,Frac,Model cis/trans Flips,Frac,Model Average Sidechain Error,Template Name,Template Coverage,Template Average Backbone Error,Template Twisted Peptide Count,Frac,Template cis/trans Flips,Frac,Template Average Sidechain Error
T0960TS351_3-D4,1.000,43.108,0,0.000,5,0.078,74.213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS426_4-D4,1.000,49.601,0,0.000,0,0.000,53.934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS257_2-D4,1.000,47.859,0,0.000,1,0.016,66.873,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS351_1-D4,1.000,43.108,0,0.000,5,0.078,74.213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS110_4-D4,1.000,62.627,11,0.172,1,0.016,61.250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS351_5-D4,1.000,43.108,0,0.000,5,0.078,74.213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS492_5-D4,1.000,45.291,0,0.000,0,0.000,69.256,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS354_5-D4,1.000,46.224,4,0.062,1,0.016,50.372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS365_1-D4,1.000,44.844,0,0.000,1,0.016,59.440,4mtm,0.609,40.059,0,0.000,0,0.000,102.051
T0960TS055_3-D4,1.000,49.601,0,0.000,0,0.000,53.934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS145_3-D4,1.000,49.005,10,0.156,0,0.000,63.073,4hiz,0.469,42.448,0,0.000,0,0.000,98.702
T0960TS197_1-D4,1.000,32.208,0,0.000,0,0.000,52.130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS044_2-D4,1.000,49.601,0,0.000,0,0.000,53.934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
