Model Name,Model Coverage,Model Average Backbone Error,Model Twisted Peptide Count,Frac,Model cis/trans Flips,Frac,Model Average Sidechain Error,Template Name,Template Coverage,Template Average Backbone Error,Template Twisted Peptide Count,Frac,Template cis/trans Flips,Frac,Template Average Sidechain Error
T0949TS068_2-D1,1.000,30.675,1,0.007,3,0.022,33.949,2aza,0.806,26.649,0,0.000,3,0.023,60.574
T0949TS007_1-D1,1.000,40.125,0,0.000,3,0.022,42.842,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS348_4-D1,1.000,55.955,73,0.525,3,0.022,52.706,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS058_5-D1,1.000,30.583,0,0.000,3,0.022,35.720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS041_1-D1,1.000,42.343,0,0.000,6,0.043,37.823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS116_1-D1,1.000,29.416,0,0.000,5,0.036,53.552,1ov8,0.884,25.472,0,0.000,2,0.014,66.369
T0949TS152_5-D1,1.000,38.299,0,0.000,7,0.050,50.700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS446_5-D1,1.000,27.198,0,0.000,2,0.014,44.604,3s8f,0.713,19.514,0,0.000,2,0.018,61.698
T0949TS288_4-D1,1.000,36.329,0,0.000,3,0.022,42.245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS041_2-D1,1.000,38.822,0,0.000,5,0.036,38.887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS348_5-D1,1.000,88.218,3,0.022,74,0.532,41.272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS097_2-D1,1.000,31.734,0,0.000,4,0.029,35.251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS460_1-D1,1.000,28.946,0,0.000,3,0.022,53.310,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS152_3-D1,1.000,35.462,0,0.000,3,0.022,51.332,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS043_2-D1,1.000,25.211,0,0.000,3,0.022,35.468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS472_5-D1,1.000,41.847,1,0.007,4,0.029,41.572,4ysa,0.791,27.261,0,0.000,5,0.035,55.476
T0949TS471_1-D1,1.000,29.205,0,0.000,4,0.029,39.124,4kns,0.775,23.975,0,0.000,5,0.035,58.140
T0949TS365_2-D1,1.000,43.491,2,0.014,5,0.036,37.815,1qni,0.736,22.648,0,0.000,3,0.026,56.433
T0949TS145_4-D1,1.000,31.875,0,0.000,3,0.022,173.394,3cg8,0.876,29.085,0,0.000,3,0.020,55.754
T0949TS446_4-D1,1.000,26.071,0,0.000,3,0.022,37.450,1qhq,0.884,25.502,0,0.000,2,0.014,66.330
T0949TS397_1-D1,0.876,51.451,16,0.130,12,0.098,43.661,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS196_5-D1,1.000,27.146,0,0.000,2,0.014,37.791,1cuo,0.891,28.910,0,0.000,2,0.016,58.447
T0949TS324_2-D1,1.000,22.859,0,0.000,3,0.022,49.840,1ov8,0.884,25.472,0,0.000,2,0.014,66.369
T0949TS243_3-D1,1.000,30.932,0,0.000,3,0.022,37.395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS149_2-D1,1.000,31.073,0,0.000,4,0.029,46.720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS418_3-D1,1.000,29.233,0,0.000,3,0.022,37.961,1ov8,0.884,25.472,0,0.000,2,0.014,66.369
T0949TS261_4-D1,1.000,40.935,14,0.101,2,0.014,46.369,3cg8,0.876,29.085,0,0.000,3,0.020,55.754
T0949TS274_1-D1,1.000,29.099,0,0.000,3,0.022,41.719,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS368_1-D1,1.000,27.341,0,0.000,3,0.022,34.316,1qhq,0.884,25.502,0,0.000,2,0.014,66.330
T0949TS418_2-D1,1.000,27.341,0,0.000,3,0.022,34.316,1qhq,0.884,25.502,0,0.000,2,0.014,66.330
T0949TS358_2-D1,1.000,41.895,31,0.223,3,0.022,40.758,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS089_4-D1,1.000,21.561,0,0.000,2,0.014,38.315,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS431_1-D1,1.000,29.232,0,0.000,4,0.029,30.387,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS055_4-D1,1.000,30.798,0,0.000,3,0.022,33.928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS156_3-D1,1.000,30.957,0,0.000,3,0.022,34.157,2aza,0.806,26.649,0,0.000,3,0.023,60.574
T0949TS266_5-D1,1.000,28.235,0,0.000,2,0.014,44.107,3s8f,0.713,19.514,0,0.000,2,0.018,61.698
T0949TS007_4-D1,1.000,33.197,0,0.000,3,0.022,47.811,2mry,0.674,28.389,0,0.000,2,0.020,47.008
T0949TS377_1-D1,1.000,28.940,0,0.000,3,0.022,31.599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS007_5-D1,1.000,37.355,0,0.000,3,0.022,43.060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS157_5-D1,1.000,37.524,0,0.000,3,0.022,33.902,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS322_3-D1,1.000,34.681,12,0.086,4,0.029,43.071,3cg8,0.876,29.085,0,0.000,3,0.020,55.754
T0949TS381_5-D1,1.000,37.719,0,0.000,5,0.036,32.686,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS460_4-D1,1.000,28.956,0,0.000,3,0.022,53.271,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS472_3-D1,1.000,29.919,0,0.000,5,0.036,40.726,3wia,0.791,26.803,0,0.000,5,0.036,58.034
T0949TS224_4-D1,1.000,24.516,0,0.000,5,0.036,41.595,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS058_1-D1,1.000,29.658,0,0.000,3,0.022,43.601,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS208_3-D1,1.000,27.351,0,0.000,3,0.022,31.368,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS164_4-D1,1.000,37.257,37,0.266,3,0.022,41.521,1ov8,0.884,25.472,0,0.000,2,0.014,66.369
T0949TS224_2-D1,1.000,44.818,25,0.180,6,0.043,59.280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS358_4-D1,1.000,41.085,30,0.216,4,0.029,41.244,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS335_4-D1,1.000,30.306,2,0.014,4,0.029,36.554,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS322_5-D1,1.000,38.027,17,0.122,4,0.029,53.827,3cg8,0.876,29.085,0,0.000,3,0.020,55.754
T0949TS368_2-D1,1.000,30.785,0,0.000,7,0.050,31.120,1qhq,0.884,25.502,0,0.000,2,0.014,66.330
T0949TS351_3-D1,1.000,36.352,0,0.000,4,0.029,40.483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS214_5-D1,1.000,28.705,1,0.007,5,0.036,37.036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS457_1-D1,1.000,27.577,0,0.000,3,0.022,33.415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS043_5-D1,1.000,27.072,0,0.000,3,0.022,35.553,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS152_1-D1,1.000,37.317,0,0.000,5,0.036,49.333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS047_4-D1,1.000,34.465,0,0.000,3,0.022,43.943,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0949TS004_5-D1,1.000,29.903,0,0.000,3,0.022,32.583,2zoo,0.775,25.301,0,0.000,5,0.034,56.382
T0949TS224_1-D1,1.000,34.712,5,0.036,3,0.022,55.665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
