Model Name,Model Coverage,Model Average Backbone Error,Model Twisted Peptide Count,Frac,Model cis/trans Flips,Frac,Model Average Sidechain Error,Template Name,Template Coverage,Template Average Backbone Error,Template Twisted Peptide Count,Frac,Template cis/trans Flips,Frac,Template Average Sidechain Error
T0960TS358_2-D2,1.000,47.698,11,0.131,1,0.012,66.590,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS116_1-D2,1.000,41.367,0,0.000,1,0.012,66.553,4mtm,0.500,32.470,0,0.000,0,0.000,95.740
T0960TS324_1-D2,1.000,32.667,0,0.000,3,0.036,66.815,1ajk,0.917,37.815,0,0.000,1,0.008,82.668
T0960TS288_5-D2,1.000,35.619,0,0.000,1,0.012,63.447,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS089_5-D2,1.000,37.143,0,0.000,1,0.012,64.370,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS086_3-D2,1.000,34.659,0,0.000,2,0.024,58.468,5efv,0.929,27.994,0,0.000,1,0.007,83.925
T0960TS312_1-D2,1.000,48.221,14,0.167,2,0.024,69.693,1jc9,0.714,41.341,0,0.000,1,0.011,94.422
T0960TS274_4-D2,1.000,41.566,0,0.000,1,0.012,73.462,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS441_3-D2,1.000,39.612,0,0.000,1,0.012,74.206,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS004_2-D2,1.000,42.409,1,0.012,1,0.012,60.861,4cpy,0.750,39.732,0,0.000,0,0.000,89.538
T0960TS145_3-D2,1.000,47.004,9,0.107,1,0.012,63.746,5hqg,0.512,33.920,0,0.000,1,0.015,108.044
T0960TS266_2-D2,1.000,37.362,0,0.000,1,0.012,68.376,4mtm,0.500,32.470,0,0.000,0,0.000,95.740
T0960TS071_1-D2,1.000,38.996,1,0.012,1,0.012,66.548,5hkj,0.988,37.901,0,0.000,1,0.007,92.837
T0960TS377_1-D2,1.000,34.811,0,0.000,1,0.012,75.016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS351_1-D2,1.000,35.131,0,0.000,1,0.012,63.402,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS149_1-D2,1.000,40.288,0,0.000,2,0.024,77.755,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS274_1-D2,1.000,40.474,0,0.000,1,0.012,65.619,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0960TS243_3-D2,1.000,35.713,0,0.000,1,0.012,55.541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
