Model Name,Model Coverage,Model Average Backbone Error,Model Twisted Peptide Count,Frac,Model cis/trans Flips,Frac,Model Average Sidechain Error,Template Name,Template Coverage,Template Average Backbone Error,Template Twisted Peptide Count,Frac,Template cis/trans Flips,Frac,Template Average Sidechain Error
T0963TS344_5-D1,1.000,34.030,0,0.000,0,0.000,55.333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS089_2-D1,1.000,47.168,4,0.129,0,0.000,55.550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS047_5-D1,1.000,47.828,0,0.000,0,0.000,58.245,5gqc,0.806,44.478,0,0.000,0,0.000,106.170
T0963TS149_5-D1,1.000,39.014,0,0.000,0,0.000,65.880,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS197_1-D1,1.000,42.383,0,0.000,0,0.000,78.958,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS351_2-D1,1.000,53.581,0,0.000,1,0.032,64.888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS224_4-D1,1.000,35.059,0,0.000,0,0.000,62.153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS309_2-D1,1.000,47.168,4,0.129,0,0.000,55.550,4unm,0.871,43.882,0,0.000,1,0.014,79.179
T0963TS116_5-D1,1.000,47.458,0,0.000,0,0.000,73.449,4mtm,1.000,32.726,0,0.000,0,0.000,118.821
T0963TS208_2-D1,1.000,35.747,0,0.000,0,0.000,66.536,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS224_3-D1,1.000,36.886,0,0.000,0,0.000,62.792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS348_2-D1,1.000,68.408,2,0.065,10,0.323,60.501,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS156_4-D1,1.000,40.100,0,0.000,0,0.000,55.538,5efv,0.806,28.580,0,0.000,0,0.000,71.691
T0963TS089_4-D1,1.000,32.155,0,0.000,0,0.000,52.266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS368_3-D1,1.000,33.325,0,0.000,0,0.000,53.643,4d52,0.419,31.603,0,0.000,0,0.000,109.659
T0963TS457_4-D1,1.000,47.168,4,0.129,0,0.000,55.550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS282_1-D1,1.000,43.602,0,0.000,0,0.000,59.328,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS007_5-D1,1.000,46.830,0,0.000,0,0.000,64.789,1heh,0.419,35.011,0,0.000,0,0.000,109.607
T0963TS257_2-D1,1.000,29.448,0,0.000,0,0.000,70.088,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS279_1-D1,1.000,56.205,0,0.000,0,0.000,68.893,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS368_2-D1,1.000,33.015,0,0.000,0,0.000,35.878,5d28,0.935,37.237,0,0.000,0,0.000,75.988
T0963TS366_4-D1,1.000,36.212,0,0.000,0,0.000,82.188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS365_2-D1,1.000,44.628,0,0.000,0,0.000,68.295,4mtm,1.000,32.726,0,0.000,0,0.000,118.821
T0963TS085_4-D1,1.000,39.310,0,0.000,0,0.000,92.487,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS058_5-D1,1.000,42.980,0,0.000,0,0.000,46.124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS152_5-D1,1.000,41.231,0,0.000,2,0.065,46.034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS457_2-D1,1.000,33.547,0,0.000,0,0.000,73.607,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS152_1-D1,1.000,38.616,0,0.000,1,0.032,60.676,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS418_5-D1,1.000,49.188,0,0.000,0,0.000,72.662,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS358_1-D1,1.000,55.356,5,0.161,0,0.000,62.899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS257_1-D1,1.000,36.563,0,0.000,2,0.065,63.575,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS071_2-D1,1.000,44.579,2,0.065,1,0.032,55.334,2j8k,0.516,27.018,0,0.000,0,0.000,77.972
T0963TS354_1-D1,1.000,47.168,4,0.129,0,0.000,55.550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS007_1-D1,1.000,58.435,0,0.000,0,0.000,65.658,2edh,0.774,41.701,0,0.000,0,0.000,93.267
T0963TS390_1-D1,1.000,33.034,0,0.000,0,0.000,36.377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS498_1-D1,1.000,26.478,0,0.000,1,0.032,83.502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS055_5-D1,1.000,32.155,0,0.000,0,0.000,52.266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS244_4-D1,1.000,38.580,0,0.000,0,0.000,73.050,2v4v,0.419,30.150,0,0.000,0,0.000,96.449
T0963TS460_2-D1,1.000,38.236,0,0.000,0,0.000,74.346,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS324_3-D1,1.000,25.023,0,0.000,0,0.000,76.207,2qh9,1.000,29.551,0,0.000,0,0.000,93.088
T0963TS458_5-D1,1.000,46.925,0,0.000,1,0.032,63.977,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS351_1-D1,1.000,53.581,0,0.000,1,0.032,64.888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS196_5-D1,1.000,33.547,0,0.000,0,0.000,73.607,4mtm,1.000,32.726,0,0.000,0,0.000,118.821
T0963TS224_5-D1,1.000,32.155,0,0.000,0,0.000,52.266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS274_5-D1,1.000,40.077,0,0.000,0,0.000,85.852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS112_4-D1,1.000,36.003,0,0.000,0,0.000,85.165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS309_5-D1,1.000,33.015,0,0.000,0,0.000,35.878,5d28,0.935,37.237,0,0.000,0,0.000,75.988
T0963TS089_3-D1,1.000,52.609,5,0.161,0,0.000,72.409,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS274_4-D1,1.000,47.644,1,0.032,1,0.032,72.723,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS221_1-D1,1.000,37.663,0,0.000,0,0.000,64.584,4mtm,1.000,32.726,0,0.000,0,0.000,118.821
T0963TS156_2-D1,1.000,38.394,0,0.000,0,0.000,55.221,5efv,0.806,28.580,0,0.000,0,0.000,71.691
T0963TS335_4-D1,1.000,30.654,0,0.000,0,0.000,61.756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS406_2-D1,1.000,33.015,0,0.000,0,0.000,35.878,5d28,0.935,37.237,0,0.000,0,0.000,75.988
T0963TS378_1-D1,1.000,30.654,0,0.000,0,0.000,61.756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS222_5-D1,1.000,38.898,0,0.000,0,0.000,56.886,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS116_1-D1,1.000,35.532,0,0.000,0,0.000,78.092,4mtm,1.000,32.726,0,0.000,0,0.000,118.821
T0963TS043_3-D1,1.000,32.147,0,0.000,0,0.000,53.109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS324_1-D1,1.000,28.055,0,0.000,0,0.000,68.781,5t3a,0.742,36.193,0,0.000,0,0.000,79.466
T0963TS086_2-D1,1.000,33.015,0,0.000,0,0.000,35.878,5d28,0.935,37.237,0,0.000,0,0.000,75.988
T0963TS282_5-D1,1.000,54.137,0,0.000,1,0.032,61.494,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS224_2-D1,1.000,60.042,9,0.290,4,0.129,73.237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS124_4-D1,1.000,41.166,0,0.000,0,0.000,62.854,4mtm,1.000,32.726,0,0.000,0,0.000,118.821
T0963TS335_5-D1,1.000,30.654,0,0.000,0,0.000,61.756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS402_2-D1,1.000,25.479,0,0.000,0,0.000,42.171,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS208_3-D1,1.000,33.871,0,0.000,0,0.000,58.772,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS378_2-D1,1.000,31.186,0,0.000,0,0.000,56.375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS124_3-D1,1.000,35.860,0,0.000,0,0.000,79.166,4mtm,1.000,32.726,0,0.000,0,0.000,118.821
T0963TS366_2-D1,1.000,38.203,0,0.000,0,0.000,87.247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS368_5-D1,1.000,42.542,0,0.000,0,0.000,59.791,4d52,0.419,31.603,0,0.000,0,0.000,109.659
T0963TS488_4-D1,1.000,39.795,0,0.000,0,0.000,48.181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
