Model Name,Model Coverage,Model Average Backbone Error,Model Twisted Peptide Count,Frac,Model cis/trans Flips,Frac,Model Average Sidechain Error,Template Name,Template Coverage,Template Average Backbone Error,Template Twisted Peptide Count,Frac,Template cis/trans Flips,Frac,Template Average Sidechain Error
T0963TS160_4-D4,1.000,47.140,0,0.000,0,0.000,68.587,5n8p,0.750,34.468,0,0.000,0,0.000,112.612
T0963TS344_5-D4,1.000,40.665,1,0.016,1,0.016,46.424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS488_4-D4,1.000,48.902,0,0.000,4,0.062,64.613,4gc1,0.406,49.493,0,0.000,0,0.000,98.519
T0963TS124_2-D4,1.000,38.590,0,0.000,0,0.000,66.840,4mtm,0.609,33.208,0,0.000,0,0.000,93.015
T0963TS470_3-D4,1.000,44.756,0,0.000,0,0.000,62.884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS086_2-D4,1.000,38.871,0,0.000,0,0.000,62.765,4mtm,0.609,33.208,0,0.000,0,0.000,93.015
T0963TS163_5-D4,1.000,44.282,6,0.094,0,0.000,60.326,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS344_4-D4,1.000,37.419,1,0.016,0,0.000,64.146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS047_2-D4,1.000,51.565,0,0.000,0,0.000,68.028,4mtm,0.609,33.208,0,0.000,0,0.000,93.015
T0963TS288_1-D4,1.000,46.740,0,0.000,0,0.000,50.575,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS322_1-D4,1.000,42.811,7,0.109,0,0.000,70.368,4unm,0.797,45.630,0,0.000,1,0.010,89.661
T0963TS145_4-D4,1.000,43.146,6,0.094,1,0.016,64.888,4unm,0.797,45.630,0,0.000,1,0.010,89.661
T0963TS089_1-D4,1.000,39.593,0,0.000,0,0.000,65.855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS192_3-D4,1.000,41.194,0,0.000,0,0.000,60.979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS112_4-D4,1.000,37.494,0,0.000,0,0.000,71.857,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS309_3-D4,1.000,36.797,0,0.000,0,0.000,67.359,4mtm,0.609,33.208,0,0.000,0,0.000,93.015
T0963TS351_2-D4,1.000,53.409,0,0.000,3,0.047,65.860,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS068_3-D4,1.000,60.570,0,0.000,0,0.000,66.042,5nxf,0.953,44.294,0,0.000,0,0.000,101.290
T0963TS458_5-D4,1.000,49.667,0,0.000,2,0.031,72.403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS043_5-D4,1.000,34.117,0,0.000,1,0.016,64.677,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS324_4-D4,1.000,39.720,0,0.000,1,0.016,80.456,2d0o,0.797,28.134,0,0.000,0,0.000,81.731
T0963TS257_1-D4,1.000,47.487,0,0.000,3,0.047,62.593,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS458_1-D4,1.000,52.836,0,0.000,1,0.016,63.490,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS324_1-D4,1.000,33.889,0,0.000,1,0.016,72.485,5efv,0.844,34.526,0,0.000,0,0.000,84.807
T0963TS498_1-D4,1.000,38.249,0,0.000,0,0.000,60.412,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS402_3-D4,1.000,27.942,0,0.000,0,0.000,64.770,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS222_3-D4,1.000,33.865,0,0.000,0,0.000,58.445,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
