Model Name,Model Coverage,Model Average Backbone Error,Model Twisted Peptide Count,Frac,Model cis/trans Flips,Frac,Model Average Sidechain Error,Template Name,Template Coverage,Template Average Backbone Error,Template Twisted Peptide Count,Frac,Template cis/trans Flips,Frac,Template Average Sidechain Error
T0963TS222_5-D2,1.000,35.240,0,0.000,1,0.012,69.959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS407_4-D2,1.000,42.751,0,0.000,3,0.037,73.746,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS196_4-D2,1.000,37.149,7,0.085,1,0.012,69.429,4unm,0.854,43.698,0,0.000,1,0.008,96.973
T0963TS498_5-D2,1.000,32.502,0,0.000,3,0.037,65.556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS116_5-D2,1.000,38.995,0,0.000,1,0.012,66.322,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS110_4-D2,1.000,36.658,4,0.049,2,0.024,55.225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS145_1-D2,1.000,43.076,9,0.110,1,0.012,66.185,4unm,0.854,43.698,0,0.000,1,0.008,96.973
T0963TS110_3-D2,1.000,40.973,8,0.098,1,0.012,62.540,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS426_1-D2,1.000,37.178,5,0.061,1,0.012,62.773,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS192_2-D2,0.854,34.434,0,0.000,1,0.014,62.983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS426_4-D2,1.000,31.871,0,0.000,1,0.012,70.163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS446_5-D2,1.000,37.781,0,0.000,1,0.012,61.872,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS007_3-D2,1.000,40.911,0,0.000,1,0.012,75.479,2v4v,0.829,39.369,0,0.000,1,0.010,116.844
T0963TS041_4-D2,1.000,41.252,0,0.000,4,0.049,66.279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS068_3-D2,1.000,79.503,1,0.012,2,0.024,60.013,5nxf,0.976,37.928,0,0.000,1,0.007,99.120
T0963TS149_4-D2,1.000,43.889,0,0.000,1,0.012,70.795,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS498_1-D2,1.000,36.253,0,0.000,4,0.049,68.398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS402_3-D2,1.000,30.659,0,0.000,1,0.012,53.300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS196_1-D2,1.000,32.955,0,0.000,1,0.012,71.914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS432_2-D2,1.000,36.523,0,0.000,1,0.012,68.485,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS244_2-D2,1.000,48.822,0,0.000,3,0.037,72.613,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS418_5-D2,1.000,45.838,0,0.000,1,0.012,67.887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS488_5-D2,1.000,44.049,0,0.000,1,0.012,64.659,3q6k,0.915,41.262,0,0.000,2,0.016,92.341
T0963TS406_3-D2,1.000,35.579,0,0.000,1,0.012,63.125,5d28,0.854,37.341,0,0.000,1,0.009,94.424
T0963TS498_3-D2,1.000,28.315,0,0.000,0,0.000,73.424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS460_3-D2,1.000,35.148,0,0.000,1,0.012,69.497,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS160_1-D2,1.000,57.009,24,0.293,1,0.012,57.308,2bwr,0.866,42.616,0,0.000,2,0.016,83.519
T0963TS274_2-D2,1.000,37.498,0,0.000,2,0.024,73.866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS243_1-D2,1.000,39.248,0,0.000,2,0.024,69.394,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS446_1-D2,1.000,35.101,0,0.000,1,0.012,61.534,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS497_4-D2,1.000,52.892,0,0.000,3,0.037,69.482,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS197_4-D2,1.000,29.937,0,0.000,2,0.024,56.818,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS068_5-D2,1.000,78.286,1,0.012,2,0.024,60.897,5nxf,0.976,37.928,0,0.000,1,0.007,99.120
T0963TS246_2-D2,1.000,40.167,0,0.000,1,0.012,68.764,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS407_1-D2,1.000,41.219,0,0.000,2,0.024,66.736,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS344_3-D2,1.000,34.398,1,0.012,1,0.012,69.769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS390_1-D2,1.000,42.172,0,0.000,2,0.024,59.480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS244_5-D2,1.000,36.010,0,0.000,1,0.012,67.884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS117_3-D2,1.000,40.174,0,0.000,2,0.024,69.832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS351_2-D2,1.000,42.618,0,0.000,3,0.037,56.465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS470_1-D2,1.000,53.492,2,0.024,1,0.012,58.106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS426_2-D2,1.000,42.186,0,0.000,2,0.024,59.159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS274_3-D2,1.000,49.183,0,0.000,2,0.024,68.844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS257_4-D2,1.000,53.643,0,0.000,2,0.024,70.542,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS044_3-D2,1.000,30.659,0,0.000,1,0.012,56.792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS457_2-D2,1.000,31.934,0,0.000,1,0.012,73.284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS457_3-D2,1.000,32.712,0,0.000,2,0.024,60.373,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS381_1-D2,1.000,47.213,0,0.000,3,0.037,71.812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS089_2-D2,1.000,37.149,7,0.085,1,0.012,69.429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS492_2-D2,1.000,33.692,0,0.000,1,0.012,70.739,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS274_1-D2,1.000,40.108,0,0.000,1,0.012,70.773,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS224_3-D2,1.000,39.248,0,0.000,2,0.024,69.394,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS324_2-D2,1.000,33.141,0,0.000,2,0.024,75.019,3d2u,0.683,30.743,0,0.000,1,0.013,87.936
T0963TS124_1-D2,1.000,31.934,0,0.000,1,0.012,73.284,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS329_1-D2,1.000,34.008,0,0.000,1,0.012,71.231,5efv,0.951,27.646,0,0.000,1,0.007,86.098
T0963TS208_5-D2,1.000,47.430,0,0.000,1,0.012,67.496,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS406_5-D2,1.000,32.955,0,0.000,1,0.012,71.914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS196_5-D2,1.000,31.934,0,0.000,1,0.012,73.284,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS441_3-D2,1.000,37.234,0,0.000,1,0.012,76.475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS086_3-D2,1.000,38.244,0,0.000,1,0.012,63.420,4d52,0.902,35.706,0,0.000,1,0.008,95.173
T0963TS116_4-D2,1.000,39.704,0,0.000,2,0.024,73.134,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS135_4-D2,1.000,37.234,0,0.000,1,0.012,76.475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS402_1-D2,1.000,44.377,0,0.000,1,0.012,73.152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS312_2-D2,1.000,56.331,25,0.305,1,0.012,81.658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS351_5-D2,1.000,42.618,0,0.000,3,0.037,56.465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS368_3-D2,1.000,38.244,0,0.000,1,0.012,63.420,4d52,0.902,35.706,0,0.000,1,0.008,95.173
T0963TS324_5-D2,1.000,30.698,0,0.000,2,0.024,75.228,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS457_4-D2,1.000,37.149,7,0.085,1,0.012,69.429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS407_3-D2,1.000,43.751,0,0.000,2,0.024,63.645,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS497_1-D2,1.000,52.721,0,0.000,4,0.049,73.885,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS354_2-D2,1.000,35.579,0,0.000,1,0.012,63.125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS368_2-D2,1.000,42.186,0,0.000,2,0.024,59.159,5d28,0.854,37.341,0,0.000,1,0.009,94.424
T0963TS377_2-D2,1.000,36.010,0,0.000,1,0.012,67.884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS112_4-D2,1.000,34.272,0,0.000,1,0.012,78.702,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS243_4-D2,1.000,33.699,0,0.000,1,0.012,62.930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS368_5-D2,1.000,37.623,0,0.000,1,0.012,62.262,4d52,0.902,35.706,0,0.000,1,0.008,95.173
T0963TS243_3-D2,1.000,33.026,0,0.000,1,0.012,56.620,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS044_5-D2,1.000,43.076,9,0.110,1,0.012,66.185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS086_2-D2,1.000,42.186,0,0.000,2,0.024,59.159,5d28,0.854,37.341,0,0.000,1,0.009,94.424
T0963TS246_1-D2,1.000,46.006,0,0.000,1,0.012,79.808,4mtm,0.524,32.607,0,0.000,0,0.000,96.404
T0963TS432_5-D2,1.000,36.834,0,0.000,4,0.049,65.035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS337_2-D2,1.000,41.176,0,0.000,1,0.012,77.364,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS257_2-D2,1.000,55.627,0,0.000,3,0.037,60.850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS354_4-D2,1.000,38.244,0,0.000,1,0.012,63.420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS492_1-D2,1.000,31.846,0,0.000,1,0.012,63.920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS058_3-D2,1.000,30.852,0,0.000,1,0.012,58.441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS241_3-D2,1.000,42.186,0,0.000,2,0.024,59.159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS085_5-D2,1.000,43.689,0,0.000,1,0.012,69.432,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS402_2-D2,1.000,29.821,0,0.000,2,0.024,61.581,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS044_4-D2,1.000,47.574,11,0.134,2,0.024,68.320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS288_5-D2,1.000,37.360,0,0.000,1,0.012,70.483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS407_2-D2,1.000,44.160,0,0.000,3,0.037,64.156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS432_1-D2,1.000,33.789,0,0.000,1,0.012,69.245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0963TS156_4-D2,1.000,36.608,0,0.000,1,0.012,54.197,5efv,0.951,27.646,0,0.000,1,0.007,86.098
T0963TS041_1-D2,1.000,37.694,0,0.000,1,0.012,62.617,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
