Model Name,Model Coverage,Model Average Backbone Error,Model Twisted Peptide Count,Frac,Model cis/trans Flips,Frac,Model Average Sidechain Error,Template Name,Template Coverage,Template Average Backbone Error,Template Twisted Peptide Count,Frac,Template cis/trans Flips,Frac,Template Average Sidechain Error
T0955TS322_5-D1,1.000,22.169,0,0.000,0,0.000,39.791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS244_1-D1,1.000,19.952,2,0.049,0,0.000,30.198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS068_3-D1,1.000,16.945,0,0.000,0,0.000,26.453,5kvn,0.659,15.466,0,0.000,0,0.000,38.838
T0955TS441_4-D1,1.000,31.882,0,0.000,0,0.000,44.627,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS221_1-D1,1.000,17.004,0,0.000,0,0.000,28.284,5kvn,0.659,15.466,0,0.000,0,0.000,38.838
T0955TS192_1-D1,1.000,27.412,0,0.000,0,0.000,38.280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS124_2-D1,1.000,28.060,0,0.000,0,0.000,37.331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS071_3-D1,1.000,16.534,0,0.000,0,0.000,35.257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS354_3-D1,1.000,18.432,0,0.000,0,0.000,30.090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS135_1-D1,1.000,16.102,0,0.000,0,0.000,33.106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS023_5-D1,1.000,27.074,0,0.000,0,0.000,36.275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS473_5-D1,1.000,20.804,0,0.000,0,0.000,31.523,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS085_1-D1,1.000,31.663,14,0.341,0,0.000,47.810,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS097_4-D1,1.000,22.950,1,0.024,0,0.000,25.663,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS085_5-D1,1.000,22.736,0,0.000,0,0.000,30.098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS488_3-D1,1.000,16.743,0,0.000,0,0.000,33.447,3g0t,0.951,32.829,0,0.000,0,0.000,39.067
T0955TS044_3-D1,1.000,20.848,0,0.000,0,0.000,36.359,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0955TS004_4-D1,1.000,38.336,1,0.024,0,0.000,30.663,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
